ref;injury;lethal;healMalus;timeLimit;timeLimitUnit;effect;healingTime
11-12;Vimmelkantig;false;0;0;;Ingen Effekt;0
13-14;Tappad anda;false;0;0;;Ingen Effekt;0
15-16;Hjärnskakning;false;0;0;;–2 på SPEJA.;1
21-22;Bruten näsa;false;0;0;;–1 på MANIPULERA.;1
23-24;Brutna fingrar;false;0;0;;Tvåhandsvapen kan inte användas.;1
25-26;Brutna tår;false;0;0;;SPRINGA blir lång handling.;1
31-33;Utslagna tänder;false;0;0;;–1 på MANIPULERA.;1
34-36;Skrevsmäll;false;0;0;;En poäng skada vid slag för RÖRLIGHET och NÄRKAMP.;1
41-43;Knäckta revben;false;0;0;;–2 på RÖRLIGHET och NÄRKAMP;2
44-45;Bruten arm;false;0;0;;Inga tvåhandsvapen kan användas.;2
46-51;Brutet ben;false;0;0;;SPRINGA blir lång handling.;2
52-53;Mosat öga;false;0;0;;–2 på SKYTTE och SPEJA.;2
54-55;Krossad fot;true;0;1;Dagar;SPRINGA blir lång handling.;3
56-61;Krossad armbåge;true;0;1;Dagar;Tvåhandsvapen kan inte användas.;-1
62-63;Krossat knä;true;0;1;Dagar;SPRINGA blir lång handling;-1
64;Nackskada;false;0;0;;Förlamad från nacken. Blir du inte vårdad under läkningen blir effekten permament.;3
65-66;Krossad skalle;true;0;0;;Ditt liv och ditt äventyr slutar här.;0
