ref;injury;lethal;healMalus;timeLimit;timeLimitUnit;effect;healingTime
11-12;Blutende Stirn;false;0;0;;Kein Effekt.;0
13-14;Abgetrennte Nase;false;0;0;;-1 auf MANIPULATION.;1
15-16;Abgetrennter Finger;false;0;0;;Zweihändige Waffen können nicht benutzt werden.;1
21-22;Abgetrennter Zeh;false;0;0;;RENNEN wird zu einer langsamen Aktion.;1
23-24;Blutender Schenkel;false;0;0;;RENNEN wird zu einer langsamen Aktion.;1
25-26;Aufgeschlitzter Mund;false;0;0;;-2 auf MANIPULATION.;1
31-32;Durchgetrennte Sehne;false;0;0;;RENNEN wird zu einer langsamen Aktion.;2
33-34;Verletzte Schulter;false;0;0;;Zweihändige Waffen können nicht benutzt werden.;2
35-36;Abgetrenntes Ohr;false;0;0;;-1 auf AUSKUNDSCHAFTEN.;1
41-42;Aufgeschlitztes Auge;false;0;0;;-2 auf FERNKAMPF und AUSKUNDSCHAFTEN.;2
43-44;Durchbohrte Lunge;true;0;1;Tage;-2 auf AUSDAUER und BEWEGEN.;1
45-46;Abgetrennter Fuß;true;0;1;Tage;RENNEN wird zu einer langsamen Aktion.;-1
51-52;Innere Blutungen;true;0;1;Stunden;1 Punkt Schaden bei jedem Wurf auf KRAFT, BEWEGEN oder NAHKAMPF.;1
53-54;Gerissene Eingeweide;true;0;1;Stunden;Krankheit mit Ansteckungskraft 6.;2
55-56;Abgetrennter Arm;true;-1;1;Stunden;Zweihändige Waffen können nicht benutzt werden.;-1
61-62;Abgetrenntes Bein;true;-1;1;Stunden;RENNEN wird zu einer langsamen Aktion.;-1
63-64;Durchschnittene Kehle;true;-1;1;Runden;-2 auf AUSDAUER.;1
65;Gespaltener Schädel;true;0;0;;Du stirbst sofort.;0
66;Enthauptung;true;0;0;;Dein Kopf trennt sich von deinem Körper.;0
