id;strength;agility;wits;empathy;speed;hp;armor;skills;special;source;attacks
mmyz-humanoid-amnesiac;2;2;4;2;1;1;0;Comprehend 2|Heal 1;;myz;{unarmed}
mmyz-humanoid-cannibal;5;4;3;2;1;5;0;Fight 2|Move 1;{mutation};myz;{wmyz-scrapspear}|{wmyz-slingshot}
mmyz-humanoid-beastmutant-dog;4;5;3;2;1;4;0;Fight 1|Move 1;{feral};myz;{wmyz-scrapspear}|{wmyz-slingshot}|{fangs:0:2:0}
mmyz-humanoid-beastmutant-bear;5;4;2;3;1;5;0;Fight 2;{feral};myz;{wmyz-scrapspear}|{wmyz-slingshot}|{fangs:0:2:0}
mmyz-humanoid-beastmutant-rodent;2;5;5;2;1;2;0;Sneak 2;{feral};myz;{wmyz-scrapspear}|{wmyz-slingshot}|{fangs:0:2:0}
mmyz-humanoid-beastmutant-monkey;3;5;4;2;1;3;0;Move 2;{feral};myz;{wmyz-scrapspear}|{wmyz-slingshot}|{fangs:0:2:0}
mmyz-humanoid-doomcultist;3;2;3;4;1;3;0;Fight 1|Manipulate 2;{mutation};myz;{wmyz-scrapaxe}|{wmyz-scrapknife}|{wmyz-scrapmachete}|{wmyz-scrapspear}|{wmyz-bluntinstrument}|{wmyz-slingshot}
mmyz-humanoid-exiledmutant;2;2;2;2;1;2;0;Move 1|Fight 1;Physical contact with one of the exiles counts as a Rot attack. {mutation};myz;{wmyz-bluntinstrument}|{wmyz-slingshot}
mmyz-humanoid-helldriver;4;5;2;3;1;4;3;Shoot 3|Fight 2|Jury-Rig 1;{mutation};myz;{wmyz-bicyclechain}|{wmyz-scraprifle}
mmyz-humanoid-morlock;2;3;5;2;1;2;0;Move 2|Fight 1;{mutation};myz;{wmyz-scrapspear}
mmyz-humanoid-novacultist;2;3;5;4;1;2;0;Move 2|Heal 1;{mutation:psy};myz;
mmyz-humanoid-scraporacle;2;3;4;3;1;2;0;Manipulate 2;Telepathy, Pathokinesis, Rot-Eater;myz;
mmyz-humanoid-wanderer;4;3;4;3;1;4;0;Shoot 3|Fight 2|Comprehend 1;One or more artifacts;myz;{wmyz-scrapknife}|{wmyz-scrapaxe}
mmyz-humanoid-watertrader;2;3;4;5;1;2;0;Manipulate 2|Shoot 1|Jury-Rig 1;{mutation}, Sell Rot-free water;myz;{wmyz-scrappistol}
mmyz-humanoid-wrecker;3;4;3;2;1;2;0;Fight 3|Shoot 2|Sneak 1;{mutation};myz;{wmyz-baseballbat-spiked}|{wmyz-slingshot}
mmyz-humanoid-zoneghoul;3;4;3;2;1;3;0;Move 3|Shoot 2|Fight 1;;myz;{wmyz-bicyclechain}|{wmyz-slingshot}
mmyz-monster-acidgrass;10;;;;1;10;1000|fire:0;;Swarm. See page 176;myz;{entangle:6:1:0}
mmyz-monster-airjellies;6;;;;1;6;1000|fire:0;;Swarm. See page 177;myz;{entangle:6:1:0}
mmyz-monster-automaton;8;6;;;1;8;10;Fight 4|Shoot 4;Cannot suffer fatigue;myz;{chainsaw:0:2:0}|{laser weapon:0:2:2}
mmyz-monster-bitterbeast;5;4;;;1;5;2;Endure 3|Fight 2|Shoot 3;;myz;{bite:0:2:0}|{acid spit:0:1:2}
mmyz-monster-deathworm;8;3;;;1;8;0;Fight 3|Sneak underground 5|Move underground 5;;myz;{maw:0:2:0}
mmyz-monster-devourer;6;4;;;1;6;2;Fight 3|Sneak 4;;myz;{claws:0:1:0}|{jaws:0:3:0}
