id;strength;agility;wits;empathy;speed;hp;armor;skills;special;source;attacks
mmyz-humanoid-amnesiac;2;2;4;2;1;1;0;Comprehend 2|Heal 1;;myz;{wmyz-unarmed}
mmyz-humanoid-cannibal;5;4;3;2;1;5;0;Fight 2|Move 1;{mutation};myz;{wmyz-scrapspear}|{wmyz-slingshot}
mmyz-humanoid-beastmutant-dog;4;5;3;2;1;4;0;Fight 1|Move 1;{feral};myz;{wmyz-scrapspear}|{wmyz-slingshot}|{reißzähne:0:2:0}
mmyz-humanoid-beastmutant-bear;5;4;2;3;1;5;0;Fight 2;{feral};myz;{wmyz-scrapspear}|{wmyz-slingshot}|{reißzähne:0:2:0}
mmyz-humanoid-beastmutant-rodent;2;5;5;2;1;2;0;Sneak 2;{feral};myz;{wmyz-scrapspear}|{wmyz-slingshot}|{reißzähne:0:2:0}
mmyz-humanoid-beastmutant-monkey;3;5;4;2;1;3;0;Move 2;{feral};myz;{wmyz-scrapspear}|{wmyz-slingshot}|{reißzähne:0:2:0}
mmyz-humanoid-doomcultist;3;2;3;4;1;3;0;Fight 1|Manipulate 2;{mutation};myz;{wmyz-scrapaxe}|{wmyz-scrapknife}|{wmyz-scrapmachete}|{wmyz-scrapspear}|{wmyz-bluntinstrument}|{wmyz-slingshot}
mmyz-humanoid-exiledmutant;2;2;2;2;1;2;0;Move 1|Fight 1;Körperlicher Kontakt mit einem der Verstoßenen zählt als Fäulnisangriff. {mutation};myz;{wmyz-bluntinstrument}|{wmyz-slingshot}
mmyz-humanoid-helldriver;4;5;2;3;1;4;3;Shoot 3|Fight 2|Jury-Rig 1;{mutation};myz;{wmyz-bicyclechain}|{wmyz-scraprifle}
mmyz-humanoid-morlock;2;3;5;2;1;2;0;Move 2|Fight 1;{mutation};myz;{wmyz-scrapspear}
mmyz-humanoid-novacultist;2;3;5;4;1;2;0;Move 2|Heal 1;{mutation:psy};myz;
mmyz-humanoid-scraporacle;2;3;4;3;1;2;0;Manipulate 2;Telepathie, Pathokinese, Fäulnisesser;myz;
mmyz-humanoid-wanderer;4;3;4;3;1;4;0;Shoot 3|Fight 2|Comprehend 1;Ein oder mehrere Artefakte;myz;{wmyz-scrapknife}|{wmyz-scrapaxe}
mmyz-humanoid-watertrader;2;3;4;5;1;2;0;Manipulate 2|Shoot 1|Jury-Rig 1;{mutation}, Der Wasserhändler kann sauberes Wasser anbieten. Es könnte trotzdem von Bauchfischen infiziert sein (siehe Seite 191).;myz;{wmyz-scrappistol}
mmyz-humanoid-wrecker;3;4;3;2;1;2;0;Fight 3|Shoot 2|Sneak 1;{mutation};myz;{wmyz-baseballbat-spiked}|{wmyz-slingshot}
mmyz-humanoid-zoneghoul;3;4;3;2;1;3;0;Move 3|Shoot 2|Fight 1;;myz;{wmyz-bicyclechain}|{wmyz-slingshot}
mmyz-monster-acidgrass;10;;;;1;10;1000|fire:0;;Siehe Seite 195.;myz;{verheddern:(6):(1):0:Bei einem Treffer wird das Opfer bewegungsunfähig gemacht und erleidet einen Schadenspunkt durch die Säure. Um sich zu befreien, muss das Opfer auf Kraftakt würfeln (andere können helfen, Seite 51) Bis dahin erleidet es jede Runde einen weiteren Schadenspunkt.}
